Nome do Hotel;Preço;Nota
Wish Serrano BY GJP;R$ 1082;Hotel 5 estrelas
Hotel Fioreze Centro;R$ 870;Hotel 4 estrelas
Laghetto Stilo Vita;R$ 1184;Hotel 5 estrelas
Pousada Aardvark Inn - Rota Sul;R$ 460;Hotel 3 estrelas
Pousada Monte Felice;R$ 675;Hotel 3 estrelas
Encantos Charme Hotel;R$ 1169;Hotel 3 estrelas
Pousada Villa da Uva;R$ 539;Hotel 3 estrelas
Hotel Cabanas Glamour;R$ 394;Hotel 3 estrelas
Pousada Recanto Vó Eni;R$ 390;Hotel 3 estrelas
Hotel Estrelas da Serra;R$ 341;Hotel 3 estrelas
Hotel Bertoluci;R$ 658;Hotel 3 estrelas
Pousada Maibe Amanhecer na Serra;R$ 640;Hotel 4 estrelas
Colina Lagos Hotel;R$ 535;Hotel 3 estrelas
Pousada Quinta do Vale;R$ 708;Hotel 3 estrelas
Hotel Laghetto Siena;R$ 845;Hotel 4 estrelas
Hotel Fioreze Primo;R$ 851;Hotel 4 estrelas
Hotel Daara;R$ 928;Hotel 4 estrelas
Hotel Modevie;R$ 2079;Hotel 4 estrelas
Hotel Cabanas da Mata;R$ 419;Hotel 4 estrelas
Hotel Wood;R$ 1606;Hotel 4 estrelas
